Generation,BestGen,BestEver,AvgFitness,EliteIndex
481,2.200,415.400,-115.607,38
482,4.100,415.400,-170.430,53
483,2.700,415.400,-117.132,4
484,8.100,415.400,-201.782,5
485,2.200,415.400,-172.555,49
486,117.900,415.400,-115.245,25
487,31.500,415.400,-140.423,18
488,4.900,415.400,-71.448,51
489,1.900,415.400,-129.014,16
490,143.600,415.400,-116.904,2
491,2.400,415.400,-150.938,36
492,3.200,415.400,-82.193,49
493,2.300,415.400,-179.711,10
494,7.300,415.400,-132.154,52
495,3.100,415.400,-142.707,21
496,102.700,415.400,-78.857,2
497,6.400,415.400,-92.996,14
498,2.300,415.400,-109.596,45
499,3.000,415.400,-118.355,11
500,7.300,415.400,-79.882,52
501,3.600,415.400,-150.546,30
502,3.000,415.400,-85.836,18
503,3.600,415.400,-114.614,33
504,2.200,415.400,-126.755,2
505,2.300,415.400,-76.850,24
506,3.100,415.400,-134.629,29
507,58.600,415.400,-108.486,23
508,8.000,415.400,-68.643,7
509,7.500,415.400,-46.204,0
510,3.100,415.400,-157.343,43
511,4.000,415.400,-168.996,24
512,3.000,415.400,-95.446,24
513,3.000,415.400,-110.164,12
514,121.100,415.400,-81.079,1
515,2.200,415.400,-178.109,23
516,4.700,415.400,-150.911,22
517,6.700,415.400,-89.768,26
518,5.300,415.400,-92.589,26
519,4.300,415.400,-62.475,38
520,3.700,415.400,-89.605,18
521,2.900,415.400,-71.980,0
522,8.100,415.400,-83.170,7
523,43.900,415.400,-144.664,20
524,5.500,415.400,-244.304,4
525,124.400,415.400,-189.771,10
526,2.100,415.400,-185.029,7
527,2.600,415.400,-208.150,14
528,4.700,415.400,-146.343,2
529,5.800,415.400,-194.461,49
530,3.200,415.400,-86.727,55
531,1.900,415.400,-133.459,44
532,3.200,415.400,-163.495,33
533,7.300,415.400,-170.529,29
534,6.800,415.400,-156.207,54
535,2.300,415.400,-185.595,36
536,8.000,415.400,-113.229,45
537,5.600,415.400,-127.709,44
538,6.200,415.400,-124.482,7
539,4.600,415.400,-76.164,24
540,5.100,415.400,-148.680,50
